[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.logging.InternalLoggerFactory  - Using Log4J as the default logging framework
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - Platform: Windows
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - -Dio.netty.noUnsafe: false
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - Java version: 8
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - sun.misc.Unsafe.theUnsafe: available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - sun.misc.Unsafe.copyMemory: available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - java.nio.Buffer.address: available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - direct buffer constructor: available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - java.nio.Bits.unaligned: available, true
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent0  - java.nio.DirectByteBuffer.<init>(long, int): available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - sun.misc.Unsafe: available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - -Dio.netty.tmpdir: C:\Users\berka\AppData\Local\Temp (java.io.tmpdir)
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - -Dio.netty.bitMode: 64 (sun.arch.data.model)
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - -Dio.netty.maxDirectMemory: 1877475328 bytes
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - -Dio.netty.uninitializedArrayAllocationThreshold: -1
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.CleanerJava6  - java.nio.ByteBuffer.cleaner(): available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - -Dio.netty.noPreferDirect: false
[main] DEBUG io.grpc.netty.shaded.io.netty.channel.MultithreadEventLoopGroup  - -Dio.netty.eventLoopThreads: 24
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.InternalThreadLocalMap  - -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.InternalThreadLocalMap  - -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[main] DEBUG io.grpc.netty.shaded.io.netty.channel.nio.NioEventLoop  - -Dio.netty.noKeySetOptimization: false
[main] DEBUG io.grpc.netty.shaded.io.netty.channel.nio.NioEventLoop  - -Dio.netty.selectorAutoRebuildThreshold: 512
[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.PlatformDependent  - org.jctools-core.MpscChunkedArrayQueue: available
[main] DEBUG io.grpc.netty.shaded.io.netty.util.ResourceLeakDetector  - -Dio.grpc.netty.shaded.io.netty.leakDetection.level: sımple
[main] DEBUG io.grpc.netty.shaded.io.netty.util.ResourceLeakDetector  - -Dio.grpc.netty.shaded.io.netty.leakDetection.targetRecords: 4
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.numHeapArenas: 18
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.numDirectArenas: 18
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.pageSize: 8192
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxOrder: 11
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.chunkSize: 16777216
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.tinyCacheSize: 512
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.smallCacheSize: 256
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.normalCacheSize: 64
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.cacheTrimInterval: 8192
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.useCacheForAllThreads: true
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
[main] DEBUG io.grpc.netty.shaded.io.netty.channel.DefaultChannelId  - -Dio.netty.processId: 2296 (auto-detected)
[main] DEBUG io.grpc.netty.shaded.io.netty.util.NetUtil  - -Djava.net.preferIPv4Stack: false
[main] DEBUG io.grpc.netty.shaded.io.netty.util.NetUtil  - -Djava.net.preferIPv6Addresses: false
[main] DEBUG io.grpc.netty.shaded.io.netty.util.NetUtil  - Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
[main] DEBUG io.grpc.netty.shaded.io.netty.util.NetUtil  - Failed to get SOMAXCONN from sysctl and file \proc\sys\net\core\somaxconn. Default: 200
[main] DEBUG io.grpc.netty.shaded.io.netty.channel.DefaultChannelId  - -Dio.netty.machineId: 5c:80:b6:ff:fe:77:39:68 (auto-detected)
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.ByteBufUtil  - -Dio.netty.allocator.type: pooled
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.ByteBufUtil  - -Dio.netty.threadLocalDirectBufferSize: 0
[main] DEBUG io.grpc.netty.shaded.io.netty.buffer.ByteBufUtil  - -Dio.netty.maxThreadLocalCharBufferSize: 16384
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.buffer.AbstractByteBuf  - -Dio.grpc.netty.shaded.io.netty.buffer.checkAccessible: true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.buffer.AbstractByteBuf  - -Dio.grpc.netty.shaded.io.netty.buffer.checkBounds: true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.util.ResourceLeakDetectorFactory  - Loaded default ResourceLeakDetector: io.grpc.netty.shaded.io.netty.util.ResourceLeakDetector@42ae6dbf
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=2147483647, INITIAL_WINDOW_SIZE=1048576, MAX_HEADER_LIST_SIZE=8192}
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.util.Recycler  - -Dio.netty.recycler.maxCapacityPerThread: 4096
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.util.Recycler  - -Dio.netty.recycler.maxSharedCapacityFactor: 2
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.util.Recycler  - -Dio.netty.recycler.linkCapacity: 16
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.util.Recycler  - -Dio.netty.recycler.ratio: 8
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.netty.util.Recycler  - -Dio.netty.recycler.delayedQueue.ratio: 8
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=983041
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND SETTINGS: ack=false settings={}
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND SETTINGS: ack=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND SETTINGS: ack=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=1 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/ValidateStep, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND DATA: streamId=1 padding=0 endStream=true length=52 bytes=000000002f0a0d5469746c65206b6f6e74726f6c1a1e0a0d5469746c65206b6f6e74726f6c120d5469746c65206b6f6e74726f6c
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=false bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=true bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=1 headers=GrpcHttp2OutboundHeaders[:status: 200, content-type: application/grpc, grpc-encoding: identity, grpc-accept-encoding: gzip] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND DATA: streamId=1 padding=0 endStream=false length=7 bytes=00000000020801
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=1 headers=GrpcHttp2OutboundHeaders[grpc-status: 0] padding=0 endStream=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=7
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=false bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=true bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=3 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/ValidateStep, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND DATA: streamId=3 padding=0 endStream=true length=230 bytes=00000000e10a4847697269c59f2079617020746162c4b16ec4b16e20c3bc7374c3bc6e652067656c696e69722076652067697269c59f20796170206275746f6e...
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=false bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=3 headers=GrpcHttp2OutboundHeaders[:status: 200, content-type: application/grpc, grpc-encoding: identity, grpc-accept-encoding: gzip] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND DATA: streamId=3 padding=0 endStream=false length=7 bytes=00000000020801
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=3 headers=GrpcHttp2OutboundHeaders[grpc-status: 0] padding=0 endStream=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=true bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=7
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=false bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=true bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=5 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/ValidateStep, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND DATA: streamId=5 padding=0 endStream=true length=121 bytes=00000000740a244b756c6c616ec4b163c4b1206164c4b120766520c59f69667265736920676972696c69721a4c0a244b756c6c616ec4b163c4b1206164c4b120...
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=false bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=5 headers=GrpcHttp2OutboundHeaders[:status: 200, content-type: application/grpc, grpc-encoding: identity, grpc-accept-encoding: gzip] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND DATA: streamId=5 padding=0 endStream=false length=7 bytes=00000000020801
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=5 headers=GrpcHttp2OutboundHeaders[grpc-status: 0] padding=0 endStream=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=true bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=7
